Emittent;BaFin-ID;ISIN;Meldepflichtiger;Position / Status;Art des Instruments;Art des Geschäfts;Durchschnittspreis;Aggregiertes Volumen;Mitteilungsdatum;Datum des Geschäfts;Ort des Geschäfts;Datum der Aktivierung
Diebold Nixdorf, Incorporated;50080191;US2536511031;Radigan, Ms. Elizabeth;Sonstige Führungsperson;Aktie;Sonstiges;0,00 EUR;0,00 EUR;10.03.2023;08.03.2023;;13.03.2023 10:33:50
Diebold Nixdorf, Incorporated;50080191;US2536511031;Cantadurucu, Mr. Ilhami;Sonstige Führungsperson;Aktie;Sonstiges;3,21 USD;2.754,18 USD;10.03.2023;08.03.2023;;13.03.2023 10:33:50
KRONES Aktiengesellschaft;40001126;DE0006335003;Schawei GmbH;in enger Beziehung;Aktie;Verkauf;114,46 EUR;899.633,81 EUR;10.03.2023;08.03.2023;;13.03.2023 09:28:32
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;26,80 EUR;37.817,30 EUR;10.03.2023;08.03.2023;Xetra;10.03.2023 11:55:40
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Alpha Invest GmbH;in enger Beziehung;Aktie;Verkauf;8,00 EUR;8.755.200,00 EUR;13.03.2023;08.03.2023;;14.03.2023 14:21:57
Biofrontera AG;40005059;DE0006046113;Deutsche Balaton Aktiengesellschaft;in enger Beziehung;Aktie;Kauf;1,27 EUR;635,00 EUR;13.03.2023;08.03.2023;Xetra;13.03.2023 14:11:34
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Capital KGaA;in enger Beziehung;Aktie;Sonstiges;;;20.03.2023;08.03.2023;;20.03.2023 16:01:14
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Capital KGaA;in enger Beziehung;Aktie;Kauf;8,00 EUR;8.755.200,00 EUR;20.03.2023;08.03.2023;;20.03.2023 16:01:14
KST Beteiligungs AG;20000048;DE000A161309;Schmitt, Martin;Aufsichtsrat;Aktie;Kauf;1,28 EUR;1.536,00 EUR;08.03.2023;07.03.2023;Stuttgart;09.03.2023 10:18:50
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Babelsberger Beteiligungs GmbH;in enger Beziehung;Aktie;Verkauf;8,00 EUR;4.161.416,00 EUR;10.03.2023;07.03.2023;;13.03.2023 09:46:08
